id,last_modified,code,name,address_complete,contact_phone,contact_email,related_url,capacity,description,poi_type,lat,lon
53,01/09/2022,,Macelleria  Pizzoni Mario,"Via Roma, 3, 25074 Idro BS",,,,,Macelleria,shop-butcher,45.740368934019486,10.480527562611458
54,01/09/2022,,Jolly Market di Pizzoni Fiore,"Via Lungo Lago Vittoria, 4, 25074 Crone BS",,,,,"Alimentari,Articoli Casa,Abiti e Borse","shop-convenience,shop-houseware,shop-clothes",45.740422175516386,10.480619029775353
55,01/09/2022,,Latteria Turnaria Bio Oleificio,"Via Alessandro Manzoni, 1, 25080 Tignale BS",,,,,,,45.74078032482235,10.719988515259676
56,01/09/2022,,Margherita Conad,"Via XXIV Maggio, Snc, 25080 Gardola BS",,,,,Alimentari,shop-convenience,45.740997707754644,10.721124845696092
57,01/09/2022,,Forneria Milani Francesco ,"Via Lungo Lago Vittoria, 46, 25074 Idro BS",,,,,"Pasticceria,Forneria","shop-pastry,shop-bakery",45.74140223685739,10.481224936928914
58,01/09/2022,,Cooperativa -  Sentieri e Verbena Solidali,"Via Fontane, 25070 Livemmo BS",,,,,Alimentari,shop-convenience,45.7435320462978,10.344591272128955
59,01/09/2022,,Beltrami Giuseppina,"Via Gomba, 1, 25070 Capovalle BS",,,,,Forneria,shop-bakery,45.754459584067654,10.548972912997076
60,01/09/2022,,Al Bazar di Baga Daniela,"Via Marconi, 8, 25070 Anfo BS",,,,,Merceria,shop-sewing,45.76624673880562,10.492094401441367
61,01/09/2022,,Mondo Frutta SNC di Care’ e Orsi,"Via Caduti, 23, 25070 Anfo BS",,,,,Orto Frutta,shop-greengrocer,45.76663217891755,10.491493586682205
62,01/09/2022,,Alimentari Elda - Verificare se aperto,"Via Marconi, 14, 25070 Anfo BS",,,,,Alimentari,shop-convenience,45.76672947405559,10.492298249309808
63,01/09/2022,,Dagani Adam,"Via Giuseppe Garibaldi, 2, 25070 Anfo BS",,,,,Alimentari,shop-convenience,45.76690161119631,10.492207054210771
64,01/09/2022,,Michela Ghidoni,"Piazza Madonna Pellegrina, 17, 25080 Valvestino BS",,,,,Bar Multiservizi,amenity-bar,45.77109406839918,10.598368872412129
65,01/09/2022,,Fantasia di Frigerio Francesca,"Piazza Arturo Cozzaglio, 11, 25010 Tremosine BS",,,,,Tabaccheria,shop-tobacco,45.772539198577945,10.760345714114509
66,01/09/2022,,La Botega Snc Di Cozzaglio Daniele & C.,"Via Roma, 4, 25010 Pieve BS",,,,,Alimentari,shop-convenience,45.77277866864106,10.760002391373613
67,01/09/2022,,Margherita Conad,"Via Roma, 4, 25010 Tremosine BS",,,,,Minimarket,shop-convenience,45.78023527830463,10.757458888250369
68,01/09/2022,,Girardi Alessandra Market Carburanti,"Via Monsignor G. Zanini, 23, 25010 Tremosine BS",,,,,,,45.79245863335241,10.744037613643227
69,01/09/2022,,Plus Market di Giuntelli S.n.C,"Via XXV Aprile, 40, Via Cav. di Vittorio Veneto, 19, 25010 Pregasio BS",,,,,Alimentari,shop-convenience,45.793011592587995,10.756469040855645
