id,last_modified,code,poi_type,name,lat,lon
5040161667,16/11/2022,5040161667,fountain,Punto acqua,"43,7775226","12,0913189"
5043132161,16/11/2022,5043132161,fountain,Punto acqua,"43,7949413","11,8776597"
5047423438,16/11/2022,5047423438,fountain,Punto acqua,"44,1172403","12,3490736"
5095478321,16/11/2022,5095478321,fountain,Punto acqua,"44,0296632","12,1898421"
5097762314,16/11/2022,5097762314,fountain,Punto acqua,"43,7501057","11,9343924"
5108498017,16/11/2022,5108498017,fountain,Punto acqua,"43,7465121","11,9248866"
5128028140,16/11/2022,5128028140,fountain,Punto acqua,"44,1424617","12,2395834"
5128028141,16/11/2022,5128028141,fountain,Punto acqua,"44,1418862","12,2391704"
5263812448,16/11/2022,5263812448,fountain,Punto acqua,"44,1573554","12,3293281"
5273668842,16/11/2022,5273668842,fountain,Punto acqua,"43,8526709","12,066349"
5277455019,16/11/2022,5277455019,fountain,Punto acqua,"43,8915908","12,0862936"
5371985980,16/11/2022,5371985980,fountain,Punto acqua,"44,141196","12,2894308"
5528218139,16/11/2022,5528218139,fountain,Punto acqua,"43,8960505","12,3438251"
5528224519,16/11/2022,5528224519,fountain,Punto acqua,"43,8972038","12,3428285"
5580354026,16/11/2022,5580354026,fountain,Punto acqua,"43,833271","12,1676567"
5588761895,16/11/2022,5588761895,fountain,Punto acqua,"43,749516","11,9343366"
5591791998,16/11/2022,5591791998,fountain,Punto acqua,"43,7078591","11,9316258"
5592777621,16/11/2022,5592777621,fountain,Punto acqua,"43,8100543","11,8168216"
5595372960,16/11/2022,5595372960,fountain,Punto acqua,"44,0606492","11,8458051"
5640522254,16/11/2022,5640522254,fountain,Punto acqua,"43,8852112","12,2991647"
5640530489,16/11/2022,5640530489,fountain,Punto acqua,"43,8821625","12,3284958"
5640530492,16/11/2022,5640530492,fountain,Punto acqua,"43,8750038","12,2813896"
5640530495,16/11/2022,5640530495,fountain,Punto acqua,"43,8716152","12,2380688"
5642001869,16/11/2022,5642001869,fountain,Punto acqua,"43,8643899","12,2066077"
5642010301,16/11/2022,5642010301,fountain,Punto acqua,"43,8403459","12,1941352"
5642011041,16/11/2022,5642011041,fountain,Punto acqua,"43,7778162","12,0938711"
5645218196,16/11/2022,5645218196,fountain,Punto acqua,"43,7849466","12,0357453"
5645218777,16/11/2022,5645218777,fountain,Punto acqua,"43,7057078","11,926984"
5841741732,16/11/2022,5841741732,fountain,Punto acqua,"43,8417973","12,3577899"
5891548050,16/11/2022,5891548050,fountain,Punto acqua,"43,7463485","11,9253263"
5940317938,16/11/2022,5940317938,fountain,Punto acqua,"44,1328052","12,3361351"
5958008885,16/11/2022,5958008885,fountain,Punto acqua,"44,1397239","12,241556"
6123543352,16/11/2022,6123543352,fountain,Punto acqua,"44,1462744","12,2990445"
6123543361,16/11/2022,6123543361,fountain,Punto acqua,"44,1426264","12,2980958"
6123543389,16/11/2022,6123543389,fountain,Punto acqua,"44,1562699","12,3292827"
6132261213,16/11/2022,6132261213,fountain,Punto acqua,"44,0836241","12,3047808"
6149248509,16/11/2022,6149248509,fountain,Punto acqua,"44,065183","12,294542"
6180462736,16/11/2022,6180462736,fountain,Punto acqua,"44,1063175","12,3361782"
6180462738,16/11/2022,6180462738,fountain,Punto acqua,"44,1128433","12,3451129"
6180462739,16/11/2022,6180462739,fountain,Punto acqua,"44,1130634","12,3409953"
6180462740,16/11/2022,6180462740,fountain,Punto acqua,"44,1153845","12,3422504"
6180497836,16/11/2022,6180497836,fountain,Punto acqua,"44,1156052","12,32509"
6237888553,16/11/2022,6237888553,fountain,Punto acqua,"43,7074452","11,9319905"
6278322872,16/11/2022,6278322872,fountain,Punto acqua,"43,8079755","12,3040867"
6281702301,16/11/2022,6281702301,fountain,Punto acqua,"43,8597082","11,9748505"
6426732367,16/11/2022,6426732367,fountain,Punto acqua,"44,0301425","12,2412948"
6428067154,16/11/2022,6428067154,fountain,Punto acqua,"43,8185338","12,2671109"
6428067159,16/11/2022,6428067159,fountain,Punto acqua,"43,8180204","12,2663118"
6432234663,16/11/2022,6432234663,fountain,Punto acqua,"43,7841639","11,9016909"
6432240558,16/11/2022,6432240558,fountain,Punto acqua,"43,7662187","11,9173176"
6432246485,16/11/2022,6432246485,fountain,Punto acqua,"43,7623862","11,9196095"
6433880254,16/11/2022,6433880254,fountain,Punto acqua,"43,7287659","11,9538398"
6456440754,16/11/2022,6456440754,fountain,Punto acqua,"44,1476849","12,132838"
6461488910,16/11/2022,6461488910,fountain,Punto acqua,"44,1477126","12,2453175"
6461521537,16/11/2022,6461521537,fountain,Punto acqua,"44,1489848","12,2542659"
6462585443,16/11/2022,6462585443,fountain,Punto acqua,"44,1471322","12,1326844"
6590396498,16/11/2022,6590396498,fountain,Punto acqua,"44,0412848","12,3169768"
6590396499,16/11/2022,6590396499,fountain,Punto acqua,"44,0419863","12,3184875"
6590396500,16/11/2022,6590396500,fountain,Punto acqua,"44,0421098","12,3189881"
6665414746,16/11/2022,6665414746,fountain,Punto acqua,"43,9730021","12,1523366"
6734530635,16/11/2022,6734530635,fountain,Punto acqua,"44,0072109","11,9400142"
6750126706,16/11/2022,6750126706,fountain,Punto acqua,"44,112758","12,3257901"
6750126724,16/11/2022,6750126724,fountain,Punto acqua,"44,1150315","12,3331207"
6765416555,16/11/2022,6765416555,fountain,Punto acqua,"43,9907259","12,3032621"
6768559066,16/11/2022,6768559066,fountain,Punto acqua,"44,1107912","12,3175183"
6768559081,16/11/2022,6768559081,fountain,Punto acqua,"44,1109926","12,3146928"
6768559082,16/11/2022,6768559082,fountain,Punto acqua,"44,1067748","12,3282829"
6904470185,16/11/2022,6904470185,fountain,Punto acqua,"44,0969346","12,3134085"
6946232376,16/11/2022,6946232376,fountain,Punto acqua,"44,1184007","12,2564205"
6993401385,16/11/2022,6993401385,fountain,Punto acqua,"44,1413572","12,2441157"
7029563557,16/11/2022,7029563557,fountain,Punto acqua,"43,8771084","11,821441"
7579890052,16/11/2022,7579890052,fountain,Punto acqua,"44,1428517","12,2316094"
7762301865,16/11/2022,7762301865,fountain,Punto acqua,"43,7846121","12,0320715"
7774465696,16/11/2022,7774465696,fountain,Punto acqua,"43,7090932","12,1853022"
7776603692,16/11/2022,7776603692,fountain,Punto acqua,"43,8364718","11,9606164"
7810351885,16/11/2022,7810351885,fountain,Punto acqua,"43,8791565","11,8418483"
7819654988,16/11/2022,7819654988,fountain,Punto acqua,"44,1696076","11,917119"
7820427781,16/11/2022,7820427781,fountain,Punto acqua,"43,8010242","12,2825109"
7843702655,16/11/2022,7843702655,fountain,Punto acqua,"44,1512035","11,9269561"
7875906885,16/11/2022,7875906885,fountain,Punto acqua,"43,7759901","11,8388569"
7902995013,16/11/2022,7902995013,fountain,Punto acqua,"43,7093094","12,1842778"
8184181362,16/11/2022,8184181362,fountain,Punto acqua,"44,0457252","12,0102786"
8184181363,16/11/2022,8184181363,fountain,Punto acqua,"44,0452019","12,005267"
8198670183,16/11/2022,8198670183,fountain,Punto acqua,"44,0431594","12,0049361"
8458686874,16/11/2022,8458686874,fountain,Punto acqua,"43,6983403","11,9369566"
8735007512,16/11/2022,8735007512,fountain,Punto acqua,"44,1116584","12,2370549"
8839623197,16/11/2022,8839623197,fountain,Punto acqua,"43,8164483","12,3474442"
8939964304,16/11/2022,8939964304,fountain,Punto acqua,"43,8341729","11,9587115"
9015548837,16/11/2022,9015548837,fountain,Punto acqua,"43,6988181","11,8972261"
9029841495,16/11/2022,9029841495,fountain,Punto acqua,"44,1352134","12,2455703"
9069853248,16/11/2022,9069853248,fountain,Punto acqua,"43,7535662","12,0833313"
9069853249,16/11/2022,9069853249,fountain,Punto acqua,"43,7535068","12,0691026"
9069853250,16/11/2022,9069853250,fountain,Punto acqua,"43,7733812","12,0812955"
9083655199,16/11/2022,9083655199,fountain,Punto acqua,"43,8519919","11,8322014"
9124583113,16/11/2022,9124583113,fountain,Punto acqua,"44,1522179","12,3172476"
9212061962,16/11/2022,9212061962,fountain,Punto acqua,"44,169566","11,9437671"
9489691833,16/11/2022,9489691833,fountain,Punto acqua,"43,7855094","11,9927678"
9537186972,16/11/2022,9537186972,fountain,Punto acqua,"43,9527271","12,2287614"
9537857905,16/11/2022,9537857905,fountain,Punto acqua,"43,9570626","12,2296035"
9579425575,16/11/2022,9579425575,fountain,Punto acqua,"43,7934888","12,0999472"
9579425576,16/11/2022,9579425576,fountain,Punto acqua,"43,7781198","12,0928902"
9581511993,16/11/2022,9581511993,fountain,Punto acqua,"43,8416255","12,0544058"
9581516007,16/11/2022,9581516007,fountain,Punto acqua,"43,8468071","12,0505406"
9581538946,16/11/2022,9581538946,fountain,Punto acqua,"43,8357004","12,0531006"
9581538947,16/11/2022,9581538947,fountain,Punto acqua,"43,8284155","12,0794068"
9581538948,16/11/2022,9581538948,fountain,Punto acqua,"43,8466616","12,0573618"
9581538949,16/11/2022,9581538949,fountain,Punto acqua,"43,8529088","12,065865"
9581538950,16/11/2022,9581538950,fountain,Punto acqua,"43,8638816","12,0810267"
9581594165,16/11/2022,9581594165,fountain,Punto acqua,"43,796141","12,0078373"
9666873622,16/11/2022,9666873622,fountain,Punto acqua,"44,1467785","12,2194641"
9675335402,16/11/2022,9675335402,fountain,Punto acqua,"43,7714451","11,8605279"
9675335403,16/11/2022,9675335403,fountain,Punto acqua,"43,784401","11,868511"
9675335405,16/11/2022,9675335405,fountain,Punto acqua,"43,7954438","11,8829874"
9675438947,16/11/2022,9675438947,fountain,Punto acqua,"43,8542206","11,9760055"
9675438948,16/11/2022,9675438948,fountain,Punto acqua,"43,8917865","12,085796"
9675438955,16/11/2022,9675438955,fountain,Punto acqua,"43,8884318","12,0325261"
9675517681,16/11/2022,9675517681,fountain,Punto acqua,"43,9573354","12,1961156"
9678427232,16/11/2022,9678427232,fountain,Punto acqua,"43,9942938","12,1079002"
9685864881,16/11/2022,9685864881,fountain,Punto acqua,"44,0222229","12,2045717"
9685993828,16/11/2022,9685993828,fountain,Punto acqua,"44,1369931","12,2638619"
9685993829,16/11/2022,9685993829,fountain,Punto acqua,"44,148554","12,2065355"
9685993830,16/11/2022,9685993830,fountain,Punto acqua,"44,1239388","12,286537"
9687946260,16/11/2022,9687946260,fountain,Punto acqua,"43,8692792","11,885592"
9725289679,16/11/2022,9725289679,fountain,Punto acqua,"44,1415281","12,243299"
9725293809,16/11/2022,9725293809,fountain,Punto acqua,"44,1372228","12,2531302"
9734949062,16/11/2022,9734949062,fountain,Punto acqua,"44,1369498","12,2639739"
9734953920,16/11/2022,9734953920,fountain,Punto acqua,"44,1281594","12,2443122"
9734955626,16/11/2022,9734955626,fountain,Punto acqua,"44,1392224","12,2610427"
9762006250,16/11/2022,9762006250,fountain,Punto acqua,"44,167664","12,2450858"
9772501514,16/11/2022,9772501514,fountain,Punto acqua,"44,1304848","12,2426045"
9793056691,16/11/2022,9793056691,fountain,Punto acqua,"43,9023026","11,8454913"
9799980506,16/11/2022,9799980506,fountain,Punto acqua,"43,9560916","12,1962095"
9811057634,16/11/2022,9811057634,fountain,Punto acqua,"43,7219047","11,9496957"
9811057637,16/11/2022,9811057637,fountain,Punto acqua,"43,7378661","12,1017987"
9811057638,16/11/2022,9811057638,fountain,Punto acqua,"43,8032801","11,8621774"
9811057641,16/11/2022,9811057641,fountain,Punto acqua,"43,9018031","11,8453956"
9901313509,16/11/2022,9901313509,fountain,Punto acqua,"44,0744727","12,3270669"
9910643192,16/11/2022,9910643192,fountain,Punto acqua,"43,7075189","12,2958279"
9915550178,16/11/2022,9915550178,fountain,Punto acqua,"43,9932763","12,2740924"
9928824914,16/11/2022,9928824914,fountain,Punto acqua,"43,9284938","11,8594648"
9928824915,16/11/2022,9928824915,fountain,Punto acqua,"43,9116464","11,8620369"
9967917716,16/11/2022,9967917716,fountain,Punto acqua,"43,9371476","12,3421527"
10019083715,16/11/2022,10019083715,fountain,Punto acqua,"43,8053941","12,316311"
10046885324,16/11/2022,10046885324,fountain,Punto acqua,"44,1342893","12,0581709"
10088078657,16/11/2022,10088078657,fountain,Punto acqua,"43,8111292","12,1095025"
10123841965,16/11/2022,10123841965,fountain,Punto acqua,"43,7849077","12,0337376"
10123877720,16/11/2022,10123877720,fountain,Punto acqua,"43,8922202","12,2902217"
10159366861,16/11/2022,10159366861,fountain,Punto acqua,"44,1432911","12,1014321"
10180485918,16/11/2022,10180485918,fountain,Punto acqua,"43,8360014","11,9878388"
10180485919,16/11/2022,10180485919,fountain,Punto acqua,"43,8348954","11,9937554"
10180485920,16/11/2022,10180485920,fountain,Punto acqua,"43,8524093","11,9833815"
10185500640,16/11/2022,10185500640,fountain,Punto acqua,"44,1215859","12,3460133"
10185525841,16/11/2022,10185525841,fountain,Punto acqua,"44,1229632","12,337428"
