id,last_modified,code,name,address_complete,contact_phone,contact_email,related_url,capacity,lat,lon
1,2022-07-18,FSPOI_0007,Castello di Monte Petroso,Località Ronco di Mauro 47028 Verghereto,,,,,43.8209086,12.0711697
2,2022-07-19,FSPOI_0014,Chiesetta di Montione,Località Montione 47028 Verghereto,,,,,43.78525,11.99325
3,2022-07-20,FSPOI_0020,Maestà del Fosso Grosso,,,,,,43.78766,11.99895
4,2022-07-21,FSPOI_0027,Poggio Tre Vescovi (Balze),,,,,,43.7535267,12.1077281
5,2022-07-22,FSPOI_0039,Sentiero dei frutti dimenticati,Località Alfero 47028 Verghereto,,,,,43.8441,12.05789
6,2022-07-23,FSPOI_0040,Serra,,,,,,43.77207,12.08987
7,2022-07-24,FSPOI_0046,Casa dell'eccidio di Tavolicci,Località Tavolicci 47028 Verghereto,,,,,43.83947,12.13579
