id,last_modified,name,lat,lon,poi_type
085,06/11/2023,Passo Valles,11.8009012,46.3385778,natural-saddle
086,06/11/2023,Passo Rolle,11.7839341,46.296353,natural-saddle
087,06/11/2023,Passo Brocon,11.688333,46.118611,natural-saddle
088,06/11/2023,Passo Croce D'aune,11.8281499,46.0635787,natural-saddle
089,06/11/2023,Passo Stalle,12.1998712,46.8875862,natural-saddle
090,06/11/2023,Passo Nigra,11.5860476,46.4559803,natural-saddle
091,06/11/2023,Passo Lavazé,11.4924064,46.3545423,natural-saddle
092,06/11/2023,Passo di Pennes,11.4409685,46.8187217,natural-saddle
093,06/11/2023,Passo di Monte Giovo,11.3208724,46.8396011,natural-saddle
094,06/11/2023,Passo del Rombo,11.0966525,46.9051605,natural-saddle
095,06/11/2023,Passo delle Palade,11.112222,46.530556,natural-saddle
096,06/11/2023,Passo della Mendola,11.1969959,46.4181756,natural-saddle
097,06/11/2023,Passo del Tonale,10.5786348,46.2576843,natural-saddle
098,06/11/2023,Passo del Mortirolo,10.2983079,46.2479261,natural-saddle
099,06/11/2023,Passo dell'Aprica,10.1480688,46.1533297,natural-saddle
100,06/11/2023,Passo Godi,13.9301597,41.8373627,natural-saddle
101,06/11/2023,Passo del Foscagno,10.209,46.495,natural-saddle
102,06/11/2023,Valico della Forchetta,14.1073141,41.919773,natural-saddle
103,06/11/2023,Passo del Forno,10.2927778,46.64,natural-saddle
104,06/11/2023,Passo Flüela,9.94744,46.7503,natural-saddle
105,06/11/2023,Passo del Giulia - Julierpass,9.7177092,46.4701639,natural-saddle
106,06/11/2023,Passo del Bernina,10.0266,46.4107,natural-saddle
107,06/11/2023,Forcola di Livigno,10.0557555,46.4424704,natural-saddle
108,06/11/2023,Forca d'Acero,13.8166667,41.75,natural-saddle
109,06/11/2023,Passo del Maniva,10.3993562,45.8228276,natural-saddle
110,06/11/2023,Passo Vezzena,11.3275266,45.9566843,natural-saddle
111,06/11/2023,Passo Coe,11.2189158,45.876021,natural-saddle
112,06/11/2023,Passo Sommo,11.2060295,45.9194578,natural-saddle
113,06/11/2023,Passo Valbona,11.2812737,45.869116,natural-saddle
114,06/11/2023,Passo della Borcola,11.2067199,45.8276255,natural-saddle
115,06/11/2023,Pian delle Fugazze,11.1729451,45.7603275,natural-saddle
116,06/11/2023,"passo delle Capannelle
",13.3522756,42.4598323,natural-saddle
117,06/11/2023,Großglockner-Hochalpenstraße,12.842778,47.083333,natural-saddle
